GB2312	UTF8	UNICODE	charset 
a4ed	e3828d	12429	ろ
a4ee	e3828e	12430	ゎ
a4ef	e3828f	12431	わ
a4f0	e38290	12432	ゐ
a4f1	e38291	12433	ゑ
a4f2	e38292	12434	を
a4f3	e38293	12435	ん
a5a1	e382a1	12449	ァ
a5a2	e382a2	12450	ア
a5a3	e382a3	12451	ィ
a5a4	e382a4	12452	イ
a5a5	e382a5	12453	ゥ
a5a6	e382a6	12454	ウ
a5a7	e382a7	12455	ェ
a5a8	e382a8	12456	エ
a5a9	e382a9	12457	ォ
a5aa	e382aa	12458	オ
a5ab	e382ab	12459	カ
a5ac	e382ac	12460	ガ
a5ad	e382ad	12461	キ
a5ae	e382ae	12462	ギ
a5af	e382af	12463	ク
a5b0	e382b0	12464	グ
a5b1	e382b1	12465	ケ
a5b2	e382b2	12466	ゲ
a5b3	e382b3	12467	コ
a5b4	e382b4	12468	ゴ
a5b5	e382b5	12469	サ
a5b6	e382b6	12470	ザ
a5b7	e382b7	12471	シ
a5b8	e382b8	12472	ジ
a5b9	e382b9	12473	ス
a5ba	e382ba	12474	ズ
a5bb	e382bb	12475	セ
a5bc	e382bc	12476	ゼ
a5bd	e382bd	12477	ソ
a5be	e382be	12478	ゾ
a5bf	e382bf	12479	タ
a5c0	e38380	12480	ダ
a5c1	e38381	12481	チ
a5c2	e38382	12482	ヂ
a5c3	e38383	12483	ッ
a5c4	e38384	12484	ツ
a5c5	e38385	12485	ヅ
a5c6	e38386	12486	テ
a5c7	e38387	12487	デ
a5c8	e38388	12488	ト
a5c9	e38389	12489	ド
a5ca	e3838a	12490	ナ
a5cb	e3838b	12491	ニ
a5cc	e3838c	12492	ヌ
a5cd	e3838d	12493	ネ
a5ce	e3838e	12494	ノ
a5cf	e3838f	12495	ハ
a5d0	e38390	12496	バ
a5d1	e38391	12497	パ
a5d2	e38392	12498	ヒ
a5d3	e38393	12499	ビ
a5d4	e38394	12500	ピ
a5d5	e38395	12501	フ
a5d6	e38396	12502	ブ
a5d7	e38397	12503	プ
a5d8	e38398	12504	ヘ
a5d9	e38399	12505	ベ
a5da	e3839a	12506	ペ
a5db	e3839b	12507	ホ
a5dc	e3839c	12508	ボ
a5dd	e3839d	12509	ポ
a5de	e3839e	12510	マ
a5df	e3839f	12511	ミ
a5e0	e383a0	12512	ム
a5e1	e383a1	12513	メ
a5e2	e383a2	12514	モ
a5e3	e383a3	12515	ャ
a5e4	e383a4	12516	ヤ
a5e5	e383a5	12517	ュ
a5e6	e383a6	12518	ユ
a5e7	e383a7	12519	ョ
a5e8	e383a8	12520	ヨ
a5e9	e383a9	12521	ラ
a5ea	e383aa	12522	リ
a5eb	e383ab	12523	ル
a5ec	e383ac	12524	レ
a5ed	e383ad	12525	ロ
a5ee	e383ae	12526	ヮ
a5ef	e383af	12527	ワ
a5f0	e383b0	12528	ヰ
a5f1	e383b1	12529	ヱ
a5f2	e383b2	12530	ヲ
a5f3	e383b3	12531	ン
a5f4	e383b4	12532	ヴ
a5f5	e383b5	12533	ヵ
a5f6	e383b6	12534	ヶ
a6a1	ce91	913	Α
a6a2	ce92	914	Β
a6a3	ce93	915	Γ
a6a4	ce94	916	Δ
a6a5	ce95	917	Ε
a6a6	ce96	918	Ζ
a6a7	ce97	919	Η
a6a8	ce98	920	Θ
a6a9	ce99	921	Ι
a6aa	ce9a	922	Κ
a6ab	ce9b	923	Λ
a6ac	ce9c	924	Μ
a6ad	ce9d	925	Ν
a6ae	ce9e	926	Ξ
a6af	ce9f	927	Ο
a6b0	cea0	928	Π
